"pid","grp","duration","entry","exit","num","ind"
1189,"inactive",83,78,158,6294,1
1190,"inactive",81,76,156,6294,1
1191,"inactive",76,71,152,6294,1
1196,"inactive",73,68,144,6294,1
1199,"inactive",71,66,149,6294,1
1209,"inactive",76,71,150,6294,1
1221,"inactive",86,81,162,6294,1
1225,"inactive",76,71,148,6294,1
1231,"inactive",85,80,162,6294,1
1233,"inactive",49,44,112,6294,1
1257,"inactive",77,72,151,6294,1
1258,"inactive",81,76,154,6294,1
1261,"inactive",84,79,163,6294,1
1265,"inactive",99,94,185,6294,1
1272,"inactive",89,84,172,6294,1
1274,"inactive",91,86,174,6294,1
1297,"inactive",106,101,194,6294,1
1300,"inactive",95,90,179,6294,1
1303,"inactive",110,105,207,6294,1
1313,"inactive",70,65,141,6294,1
1319,"inactive",91,86,173,6294,1
1320,"inactive",89,84,165,6294,1
1321,"inactive",84,79,160,6294,1
1326,"inactive",100,95,188,6294,1
1328,"inactive",86,81,164,6294,1
1331,"inactive",96,91,178,6294,1
1336,"inactive",103,98,190,6294,1
1369,"inactive",86,81,165,6294,1
1372,"inactive",101,96,187,6294,1
1376,"inactive",87,82,164,6294,1
1382,"inactive",97,92,185,6294,1
1392,"inactive",79,74,151,6294,1
1398,"inactive",77,72,149,6294,1
1405,"inactive",104,99,195,6294,1
1414,"inactive",96,91,183,6294,1
1421,"inactive",74,69,144,6294,1
1424,"inactive",92,87,173,6294,1
1425,"inactive",76,71,148,6294,1
1429,"inactive",83,78,156,6294,1
1435,"inactive",74,69,147,6294,1
1439,"inactive",81,76,160,6294,1
1445,"inactive",87,82,166,6294,1
1450,"inactive",94,89,182,6294,1
1452,"inactive",86,81,167,6294,1
1455,"inactive",70,65,141,6294,1
1464,"inactive",84,79,160,6294,1
1467,"inactive",87,82,170,6294,1
1476,"inactive",117,112,217,6294,1
1525,"inactive",111,106,202,6294,1
1529,"inactive",116,111,211,6294,1
1531,"inactive",102,97,192,6294,1
1533,"inactive",103,98,192,6294,1
1536,"inactive",96,91,179,6294,1
1537,"inactive",104,99,195,6294,1
1547,"inactive",95,90,179,6294,1
1558,"inactive",117,112,215,6294,1
1575,"inactive",101,96,185,6294,1
1594,"inactive",117,112,208,6294,1
1595,"inactive",111,106,202,6294,1
1599,"inactive",111,106,200,6294,1
1601,"inactive",103,98,190,6294,1
1608,"inactive",89,84,167,6294,1
